16,475,+45432,0,8713640,19397,CHECK PAID                                                                          
16,475,+210000,0,8697920,19396,CHECK PAID                                                                         
49,+30493847,7/
03,709901359,,015,+14911981,,,045,+14911981,,,100,,,,400,,,/                                                      
49,+29823962,2/
03,709901359,,015,+14308609,,,045,+14265609,,,100,+220507,,,400,+823879,,/                                        
16,108,+7500,,,,YARDI CARD DEP   FT135Trans                                                                       
16,108,+170007,,,,Lindy Property-f Settlement                                                                     
16,108,+43000,,,,LOCKBOX DEPOSIT                                                                                  
16,409,+823879,0,,,CASS INFO. SHIP. CONC ACCTS                                                                    
49,+30662990,6/
03,709901359,,015,+14308609,,,045,+14265609,,,100,,,,400,,,/                                                      
49,+28574218,2/
03,709901359,,015,+14308609,,,045,+14265609,,,100,,,,400,,,/                                                      
49,+28574218,2/
03,709901359,,015,+14440147,,,045,+14331540,,,100,+408628,,,400,+277090,,/                                        
16,108,+100000,,,,Lindy Property-f Settlement                                                                     
16,108,+200021,,,,Lindy Property-f Settlement                                                                     
16,475,+160723,0,8578680,19409,CHECK PAID                                                                         
16,475,+3900,0,8607540,19404,CHECK PAID                                                                           
16,475,+112467,0,8571540,19399,CHECK PAID                                                                         
16,108,+108607,,,,LOCKBOX DEPOSIT                                                                                 
49,+30143123,8/
03,709901359,,015,+13236609,,,045,+13217310,,,100,+147819,,,400,+1351357,,/                                       
16,108,+2999,,,,VERIZON SERVICE  EFT PAYMNT                                                                       
16,108,+125521,,,,Lindy Property-f Settlement                                                                     
16,475,+47241,0,8714790,19413,CHECK PAID                                                                          
16,475,+6600,0,8746900,19412,CHECK PAID                                                                           
16,475,+475000,0,8765280,19410,CHECK PAID                                                                         
16,475,+570000,0,8753160,19406,CHECK PAID                                                                         
16,475,+132516,0,8754190,19405,CHECK PAID                                                                         
16,475,+120000,0,8756510,19403,CHECK PAID                                                                         
16,108,+19299,,,,DEPOSIT ANY TYPE                                                                                 
49,+29452271,11/
03,709901359,,015,+13247459,,,045,+13247459,,,100,+380635,,,400,+369785,,/                                        
16,108,+216628,,,,Lindy Property-f Settlement                                                                     
16,475,+295110,0,8798560,19411,CHECK PAID                                                                         
16,475,+74675,0,8810600,19407,CHECK PAID                                                                          
16,108,+164007,,,,YARDI CARD DEP   FT135Trans                                                                     
49,+27995758,6/
03,709901359,,015,+13872930,,,045,+13669353,,,100,+687203,,,400,+61732,,/                                         
16,108,+341912,,,,Lindy Property-f Settlement                                                                     
16,108,+7807,,,,YARDI CARD DEP   FT135Trans                                                                       
16,108,+133907,,,,YARDI CARD DEP   FT135Trans                                                                     
16,475,+61732,0,8113050,19414,CHECK PAID                                                                          
16,108,+203577,,,,LOCKBOX DEPOSIT                                                                                 
49,+29040153,7/
03,709901359,,015,+14469209,,,045,+14385095,,,100,+608363,,,400,+12084,,/                                         
16,108,+192621,,,,Lindy Property-f Settlement                                                                     
16,108,+331628,,,,Lindy Property-f Settlement                                                                     
16,475,+12084,0,8240410,19402,CHECK PAID                                                                          
16,108,+84114,,,,LOCKBOX DEPOSIT                                                                                  
49,+30095198,6/
03,709901359,,015,+14469209,,,045,+14385095,,,100,,,,400,,,/                                                      
49,+28854304,2/
98,+1089253631,1,175/
99,+1089253631,1,177/
